BranchCode,BranchName,City,Pincode,District,State,StdCode,PhoneNumber,EmailId,IFSC_Code,BranchCircle,Address-1,Address-2,Address-3
07768,COLLEGE ROAD NADIAD,NADIAD,387001,KHEDA,GUJRAT,268,2521709/10,sbi.07768@sbi.co.in,SBIN0007768,AHMEDABAD,103-104 ISCON ARCADE,NR. MAHAGUJARAT HOSPITAL,"COLLEGE ROAD, NADIAD 387001"
10994,DIWANPARA MANAVADAR,JUNAGADH,362630,JUNAGADH,GUJRAT,2874,222126,sbi.10994@sbi.co.in,SBIN0010994,AHMEDABAD,"JALDHARA BUILDING, NEAR VIJAYA BANK","GARVI CHOWK, DIWANPARA MANAVADAR",DIST: JUNAGARH
18626,LAKHIIGAM DAHEJ SEZII,BHARUCH,392002,BHARUCH,GUJRAT,2641,226701,SBI.18626@SBI.CO.IN,,AHMEDABAD,"DAHEJ ADMINISTRATIVE OFFICE COMPLEX,","LAKHIGAM, TALUKA-VAGRA",DISTT : BHARUCH
11022,RANKUVA,VALSAD- DAMAN,396560,NAVSARI,GUJRAT,26340,,sbi.11022@sbi.co.in,SBIN0011022,AHMEDABAD,RANKUVA CHAR RASTA,AT POST RANKUVA TAL CHIKHALI,DIST NAVASARI GUJARATH
60345,ALIDHARA,JUNAGADH,362260,JUNAGADH,GUJRAT,2872,241383,sbi.60345@sbi.co.in,SBIN0060345,AHMEDABAD,POST ALIDHRA,ALIDHRA,TALUKA-MENDARDA
15812,CHHODVADI,JUNAGADH,362030,JUNAGADH,GUJRAT,2873,,sbi.15812@sbi.co.in,SBIN0015812,AHMEDABAD,IN JETIBHAI PONKIA BLDG,"NEAR RAMAPIR MANDIR, TALUKA- BHESAN",CHHODVADI DIST: JUNAGADH
19194,INTOUCH BHAVNAGAR,BHAVNAGAR,364001,BHAVNAGAR,GUJRAT,278,,SBI.19194@SBI.CO.IN,,AHMEDABAD,"G-5, SUNHARMONY FULWADI CHOWK",HILL DRIVE,BHAVNAGAR
07649,CHANGODAR SAB,KADI(N.G.),382213,AHMEDABAD,GUJRAT,27170,250366,sbi.07649@sbi.co.in,SBIN0007649,AHMEDABAD,"TALUKA:SANAND,",SARKHEJ BAVALA HIGHWAY,"AHMEDABAD, GUJRAT"
03393,DANDIA BAZAR (BARODA),BARODA,390001,BARODA,GUJRAT,265,2411489,sbi.03393@sbi.co.in,SBIN0003393,AHMEDABAD,PB NO.236/B/H,BEHIND BRAHMANSABHA HALL,DANDIA BAZAR VADODARA GUJRAT
01456,I E MAKARPURA (BARODA) SP SSI,BARODA,390009,BARODA,GUJRAT,265,2647450,sbi.01456@sbi.co.in,SBIN0001456,AHMEDABAD,"PB NO.703, MUNICIPAL","COMMERCIAL BLDG.,GIDC IND EST.","MAKARPURA,BARODA, GUJRAT"
