SR NO,"BILL
DATE",REGION,MACHINE,REF NO,ADDRESS,EXPIRY DATE,PERIOD 1,Payment Terms,MODEL,RATE,QTY,TYPE,BRANCH NAME,COURIER,ENGINEER
1555,02/09/19,AHMEDABAD,NCM,001/0919,"The Branch Manager
Central Bank of India
Mahuva Branch
Shyam Darshan Plot,
5, Nutannagar,
Station Road,
Opp. Circuit House,
Mahuva-364290
Dist: Bhavnagar.",31/08/19,01-09-2019 TO 31-08-2020,ANNUALLY,ROBOMAK FLOOR,4500,1,REN,MAHUVA,,DEEPAK
1556,02/09/19,AHMEDABAD,CCM,002/0919,"THE BRANCH MANAGER
STATE BANK OF INDIA
VINCHHIYA BRANCH
NEHRU ROAD,
POST BAG NO. 1
VINCHHIYA
RAJKOT - 360055
TEL: 02821-273625",31/08/19,01-09-2019 TO 31-08-2020,ANNUALLY,MAXSELL MX 50I,3500,1,REN,VINCHHIYA,,DEEPAK
1557,02/09/19,AHMEDABAD,NCM,002/0919,"THE BRANCH MANAGER
STATE BANK OF INDIA
VINCHHIYA BRANCH
NEHRU ROAD,
POST BAG NO. 1
VINCHHIYA
RAJKOT - 360055
TEL: 02821-273625",31/08/19,01-09-2019 TO 31-08-2020,ANNUALLY,BRADMA FLOOR,4500,1,REN,VINCHHIYA,,DEEPAK
1558,02/09/19,AHMEDABAD,NCM,003/0919,"THE BRANCH MANAGER
STATE BANK OF INDIA
VIJAYNAGAR BRANCH
NR. HOLI CHOWK,
VIJAYNAGAR - 383460
DIST : SABARKANTHA
TEL: 02775 - 254860",31/08/19,01-09-2019 TO 31-08-2020,ANNUALLY,BRADMA FLOOR,4500,1,REN,VIJAYNAGAR,,KISHORBHAI
1559,02/09/19,AHMEDABAD,NCM,004/0919,"The Branch Manager
State Bank of India
Moti Marad Branch
Bazaar Chowk,
Via: Dhoraji,
Moti Marad-360421.
Dist: Rajkot.
Tel: 02824-284024.",31/08/19,01-09-2019 TO 31-08-2020,ANNUALLY,METHODEX FLOOR,4500,1,REN,MOTI MARAD,,DEEPAK
1560,02/09/19,AHMEDABAD,NCM,005/0919,"The Branch Manager
State Bank of India
SME Jasdan Branch
Gitanagar,
New Bus Stop,
Jasdan, 
Dist: Rajkot - 360050",31/08/19,01-09-2019 TO 31-08-2020,ANNUALLY,ROBOMAK FLOOR,4500,1,REN,SME JASDAN,,DEEPAK
1561,02/09/19,AHMEDABAD,NCM,006/0919,"The Branch Manager
State Bank Of India
Deodar Branch
Deodar - 385330
Dist: Banaskantha
Tel: 02762-256855",31/08/19,01-09-2019 TO 31-08-2020,ANNUALLY,BRADMA FLOOR,4500,1,REN,DEODAR,,KISHORBHAI
1561,,,,,,,,,INFRESH FLOOR,4500,1,REN,DEODAR,,KISHORBHAI
1562,02/09/19,AHMEDABAD,NCM,007/0919,"The Manager
The Ahmedabad Co-op. F&V Gro. Soc. Ltd.
1st Floor, Sardar Patel Market,
Jamalpur,
Ahmedabad.
Tel: 079-25323719",31/08/19,01-09-2019 TO 31-08-2020,ANNUALLY,ROBOMAK DESKTOP,4500,1,REN,JAMALPUR,,JK SUTHAR
1563,02/09/19,AHMEDABAD,NCM,008/0919,"The Branch Manager
Central Bank of India
Halvad Branch
Below Pooja Guest House,
Station Road,
Halvad.
Dist: Surendranagar
Mo: 9687690012 / 02758-260299",31/08/19,01-09-2019 TO 31-08-2020,ANNUALLY,ROBOMAK FLOOR,3983,1,REN,HALVAD,,DEEPAK
1564,02/09/19,AHMEDABAD,CCM,009/0919,"The Branch Manager
State Bank of India
Raval Branch
Opp. Govt. Hospital,
Bus Stand Road,
Raval-361325.
Dist: Jamnagar.
Tel: 02891-228123.",31/08/19,01-09-2019 TO 31-08-2020,ANNUALLY,MAXSELL MX 50I,3500,1,REN,RAVAL,,DEEPAK
1565,02/09/19,AHMEDABAD,CCM,010/0919,"The Branch Manager
State Bank of India
Dhuva Branch
Dhuva-363622.
Ta: Wankaner.
Dist: Rajkot
Tel: 02828-287714",31/08/19,01-09-2019 TO 31-08-2020,ANNUALLY,MAXSELL MX 50I,3500,1,REN,DHUVA,,DEEPAK
1566,02/09/19,AHMEDABAD,CCM,011/0919,"The Branch Manager
Central Bank of India
Khokhra  Branch
Shop No. 103-106 Shubh Arcade,
Opp. BRTS Bus Stand,
CTM Cross Road,
Ahmedabad.",31/08/19,01-09-2019 TO 31-08-2020,ANNUALLY,MAXSELL MX 50I,3500,1,REN,KHOKHARA,,KISHORBHAI
1567,02/09/19,AHMEDABAD,NCM,012/0919,"THE BRANCH MANAGER
BANK OF BARODA
VIJAPUR BRANCH
6-11 SHAKUNTAL SHOPPING CENTER,
T.B. HOSPITAL ROAD,
VIJAPUR,
DIST - MEHSANA
TEL : 02763-220008, 02763-222508",31/08/19,01-09-2019 TO 31-08-2020,ANNUALLY,METHODEX FLOOR,2750,1,REN,VIJAPUR,,JK SUTHAR
1568,02/09/19,AHMEDABAD,NCM,013/0919,"The Branch Manager
State Bank of India
M G Road Porbandar Branch
M G Road,
Porbandar-360575.
Tel: 0286-2247407",31/08/19,01-09-2019 TO 31-08-2020,QUARTERLY,BRADMA FLOOR,4300,1,REN,MG ROAD PORBANDAR,,DEEPAK
1568,,,,,,,,,BRADMA DESKTOP,4300,1,REN,MG ROAD PORBANDAR,,DEEPAK
1568,,,,,,,,,BRADMA CHIHUA,4300,1,REN,MG ROAD PORBANDAR,,DEEPAK
1569,02/09/19,AHMEDABAD,CCM,014/0919,"The Branch Manager
State Bank of India
Satodad Branch
Satodad-380405.
Ta: Jam Kandorna.
Dist: Rajkot.
Tel: 02824-277122.",31/08/19,01-09-2019 TO 31-08-2020,QUARTERLY,MAXSELL MX 50I,3500,1,REN,SATODAD,,
1570,02/09/19,AHMEDABAD,NCM,015/0919,"The Branch Manager
State Bank of India
Danta Branch
Madan Chambers,
Danta-Sanali Highway,
Danta-385120.
Dist: Banaskantha.
Tel: 02749-278767",31/08/19,01-09-2019 TO 31-08-2020,QUARTERLY,ROBOMAK DESKTOP,4500,1,REN,DANTA,,
